Key,English,German,Simplified English,Simplified German
D3.2_Gossip2,"""I worry that Jo-han Maurits may be getting a little <b>too nice</b> toward the Portuguese Ca-tholics who own the sugar farms.""","""Ich fürchte, dass Johann Moritz vielleicht ein wenig <b>zu freund-lich</b> zu den portu-giesischen Katho-liken, denen die Zuckerplantagen gehören, ist.""","<size=13>""I worry that Johan may be getting <b>too friendly</b> with the portuguese catholics who own the sugar farms.""","<size=15.2>""Ich fürchte, dass Johann vielleicht zu <b>nett</b> zu den portugiesischen Katholiken, denen die Zuckermühlen gehören, ist."""
D3.3_Gossip3,"""Didn't he also promise them new workers on their <b>sugar farms</b>?""","""Hat er ihnen nicht auch neue Arbeiter für ihre <b>Zuckermühlen</b> versprochen?""","<size=14.5>""Didn't he also promise them new workers on their <b>sugar farms</b>? 

He must be expect-ing another ship with enslaved peo-ple from Africa.""","<size=13>""Hat er ihnen nicht auch neue Arbeiter für ihre <b>Zuckermüh-len</b> versprochen? 

Er scheint noch ein Schiff zu erwarten, das mehr versklavte Menschen bringt."
D3.4_Documents,These files list a number of enslaved people having been gifted to the <b>portuguese sugar mill owners</b> in the name of Johan Maurits.,"Diese Unterlagen verzeichnen einige versklavte Men-schen, die im Namen von Johann Moritz an <b>portugiesische Zuckermühlenbe-sitzer</b> verschenkt wurden.",<size=13.9>These papers docu-ment how Johan gift-ed a group of en-slaved people to <b>portuguese sugar mill owners</b>. ,"<size=13.8>Auf diesen Papieren wurde aufgeschrie-ben, wie eine Grup-pe von versklavten Menschen von Johann Moritz an <b>portu-giesische Zucker-mühlenbesitzer</b> verschenkt wurde."
,,,,
D4.1_ArtistFriend,"""I have an artist friend back in the Netherlands. 

Do you think Johan Maurits would fund him too?""

- some Guest in 'Vrijburg'","""Ich habe einen Künstlerfreund zuhause in Hol-land. 

Meinst du, Johann würde ihn auch sponsoren?"" 

- ein Gast in 'Vrijburg'","""I have a friend who is an artist back in the Netherlands. 

Do you think Johan Maurits would pay them for their art as well?"" 

- some Guest in 'Vrijburg' ","<size=15>""Ich habe einen Freund, der Künst-ler ist, zu Hause in Holland. 

Meinst du, Johann Moritz würde ihn auch für seine Kunst bezahlen?""

- ein Gast in 'Vrijburg'"
D4.2_ArtWorks,<b>Artists</b> travel-ing with Johan Maurits docu-mented the Bra-zilian flora and fauna of the 17th century in great detail.,"<b>Künstler</b>, die mit Johann Moritz reisten, haben sehr detailliert brasilianische Pflanzen und Tiere dokumentiert.",The <b>artists</b> who traveled with Jo-han painted many brazilian plants and animals.,"<size=13.7><b>Künstler</b>, die  mit Johann gereist sind, haben viele Bilder von brasilianischen Pflanzen und Tieren gemalt."
D4.3_GardenRemodel,"""I am so glad that our research on the local <b>flora and fauna</b>, medicine, and all the other areas have made immense progress! 

It's all thanks to Johan's generous financial aid.""","""Ich bin sehr froh, dass unsere Forsch-ungen zur lokalen <b>Tier- und Pflan-zenwelt</b>, Medizin und all den anderen Dingen so große Fort-schritte gemacht haben. 

Und das nur dank Johanns' großzügiger finanzieller Unter-stützung!""","<size=13>""I am so glad that we could do so much research on brazil-ian <b>plants and animals</b>, medicine, and many other things! 

It's all thanks to Johan's generosity.""","""Ich bin sehr froh, dass wir so viel zu brasilianischen <b>Tieren und Pflan-zen</b>, Medizin und vielen anderen Sa-chen forschen konn-ten! 

Und das nur dank Johann's Großzü-gigkeit!"""
D4.4_Whealth,"Despite many pro-jects, artists, and scientists he <b>financed</b>, Johan Maurits' wealth kept increasing.

What channels besides his pay-ment from the WIC could he have received money through?","Obwohl Johann Moritz verschie-denste Projekte, Künstler und Wis-senschaftler <b>fi-nanzierte</b>, wuchs sein Wohlstand wei-ter.
Ob es neben seinem Lohn von der WIC noch andere Einkom-mensquellen gab?","<size=13.>Even though Johan <b>paid for</b> many dif-ferent projects from artists and scien-tists, he kept get-ting richer. 

<size=13.5>Besides his payment from the trading company, did he have other ways of earn-ing money?","Obwohl Johann viele verschiedene Pro-jekte von Künstlern und Wissenschaft-lern <b>bezahlt</b>  hat, wurde er immer rei-cher. 

Ob er neben seinem Gehalt von der WIC noch andere Wege hat-te, um Geld zu ver-dienen?"
D4.5_Scam,"Johan Maurits' signature on a spe-cific set of doc-uments has gener-ated <b>side income</b>. 

First, enslaved people were sent as gifts - months later, they re-ceived a payment request.","Johann Moritz' Unterschrift auf den richtigen Doku-menten sorgte für hohes <b>Nebenein-kommen</b>. 

Zuerst wurden ver-sklavte Menschen verschenkt-  Monate später ging eine Zahlungsauffor-derung raus.","<size=13.>Even though Johan <b>paid for</b> many dif-ferent projects from artists and scien-tists, he kept get-ting richer. 

<size=13.5>Besides his payment from the trading company, did he have other ways of earn-ing money?","Durch seine Unter-schrift auf den richtigen Papieren hat Johann viel <b>da-zu verdient</b>. 

Zuerst hat er ver-sklavte Menschen als Geschenke ver-teilt, und später hat er Geld für sie verlangt."
,,,,
E0.Explanation.Headline,(Mini) Story Time! ,(Mini) Geschichten! ,(Mini) Story Time! ,(Mini) Geschichten! 
E0.Explanation,Flip & Match your card to the right mini-story to find out what happened!,"Dreh deine Karte um und ziehe sie auf die rich-tige Mini-Geschichte, um herauszufinden, was passiert ist!",Flip & Match your card to the right mini-story to find out what happened!,"Dreh deine Karte um und ziehe sie auf die rich-tige Mini-Geschichte, um herauszufinden, was passiert ist!"
E0.Explanation.Button,Continue,Weiter,Continue,Weiter
E0.TapCard,Tap the card to flip it! ,Tippe die Karte an um sie umzudrehen!,Tap the card to flip it! ,Tippe die Karte an um sie umzudrehen!
E0.DragCard,"Drag and drop the card on
the matching stack! ","Ziehe die Karte zum passenden
Stapel und lege sie dort ab!","Drag and drop the card on
the matching stack! ","Ziehe die Karte zum passenden
Stapel und lege sie dort ab!"
,,,,
MG2StoryTitle1,The broken ship scam,Betrug um das kaputte Schiff,The broken ship scam,Betrug um das kaputte Schiff
MG2Story1,"<size=24>""Johan Maurits talked about a broken ship for sale by the slave trading company he works for in a conversation with his right-hand man!"" 
""I received important information for that scam idea I had the other day."" 
- Gaspar Dias, a merchant who worked closely with Johan Maurits. 
""This ship was recently sold by the WIC to some merchant guy. I heard they had to fix it up! 
It is leaving Recife as a portuguese vessel for Africa tomorrow."" 
""I only agreed to steer the 'Diemen' to get Gaspar Dias’ favor. But as soon as I meet an official, I will tell them he is a fraud!"" 
- Antonio Machado, Portuguese Captain 
This ship left an African harbor with many enslaved people. Officially it’s heading for a portuguese port. 
Strange, that seems vaguely familiar. 
This shipwreck is odd because no cargo sank with it. However, there are many footsteps that lead toward Mauritsstad.","<size=22>In einem Gespräch mit einem engen Mitarbeiter hat Johann Moritz über den Verkauf eines be-schädigten Schiffes geredet. Verkauft wird es von der Handelsgesellschaft, für die er arbeitet. 
""Ich habe wichtige Informationen erhalten, die für meine Betrugsidee helfen könnten!""
- Gaspar Dias, Kaufmann, arbeitete eng mit Johann Moritz zusammen.
Dieses Schiff wurde neulich von der WIC an irgendeinen Händler verkauft und musste repariert werden. Morgen fährt es unter portugiesischer Flagge von Recife nach Afrika. 
""Ich habe nur für eine Empfehlung von Dias eingewilligt, die 'Diemen' zu steuern. Aber dem nächstbesten Verwalter werde ich sagen, dass Dias ein Betrüger ist!"" 
- Antonio Machado, portugiesischer Kapitän
Dieses Schiff hat, beladen mit vielen versklavten Menschen, einen afrikanischen Hafen verlassen. Es steuert wohl einen portugiesischen Hafen an. Seltsam, das kommt mir vage bekannt vor. 
Dieses Schiffswrack ist ungewöhnlich, da keine Ladung mit gesunken ist. Allerdings führen am Ufer viele Fußstapfen nach Mauritsstad.","<size=24.5>Johan Maurits was talking about a broken ship to an employee. 

""I will soon own a ship. It will help me with my illegal business!"" 
- said Gaspar Dias, a merchant who worked for Johan Maurits

This ship was broken, but then it was sold to a Portuguese merchant. 
Tomorrow it's going to leave Brazil to go to Africa!

""I don't actually want to steer the ship 'Diemen.' As soon as I meet someone important, I will tell them Gaspar Dias is a fraud!"" - said Antonio, a captain

This ship had many people come on board in Africa. The people were taken from their home to be brought to Brazil to work.

""This broken ship is weird! It seems to have sunk without any cargo. However, many people have been at the beach nearby and walked to Mauritsstad.""","<size=24.4>Johann Moritz hat mit seinem Mitarbeiter über ein kaputtes Schiff geredet.
""Ich werde bald ein Schiff haben! Das kann ich dann für meine illegalen Geschäfte benutzen!"" 
- sagte Gaspar Dias, ein Händler der für Johann Moritz gearbeitet hat.
Diese Schiff war kaputt, wurde dann aber an einen portugiesischen Händler verkauft. Morgen fährt es von Brasilien nach Afrika!
""Eigentlich will ich das Schiff 'Diemen' nicht steuern. Sobald ich jemand wichtiges treffe, werde ich erzählen, dass Gaspar Dias ein Betrüger ist!"" 
- sagte Antonio, Kaptiän
Dieses Schiff hat in Afrika viele Menschen aufgeladen, die gegen ihren Willen nach Brasilien gebracht werden sollten, um dort zu arbeiten.
Dieses kaputte Schiff ist seltsam! Es ist ohne Ladung gesunken. 
Aber am Strand sind Fußstapfen! Viele Leute müssen nach Mauritsstad gelaufen sein."
MG2StoryTitle2,Project: Mauritstad ,Projekt: Mauritsstad,Project: Mauritstad ,Projekt: Mauritsstad
MG2Story2,"<size=25> This object identifies Johan Maurits as the governor of Dutch Brazil, where he resided in Mauritsstad.

These plans show a Dutch-inspired building near Johan Maurits’ gover-nor's residence in Mauritsstad that was initiated and financed by Johan Maurits.

Inspired by European court life, Johan Maurits imported many things he was used to from his home, such as food, animals, and plants. Among them, for example, the orange tree.

Usually, imported trade goods were unloaded in the ports - as were enslaved people. A peculiar group of enslaved people must have come walking up the coast instead.","Dieses Objekt identifiziert Johann Moritz als den Gouverneur von Niederländisch-Brasilien, wo er in Mauritsstad residier-te.

Diese Pläne zeigen ein niederländisch inspiriertes Gebäude, dessen Bau in Mauritsstad von Johann Moritz initiiert und finanziert wurde.

Um dem Vorbild seiner Heimat treu zu bleiben, wurden viele Waren wie Lebens-mittel, Tiere und Pflanzen importiert - darunter zum Beispiel auch der Orangen-baum.

Normalerweise wurde importierte Handels-ware in Häfen vom Schiff abgeladen - ebenso wie versklavte Menschen. Eine ungewöhnliche Gruppe versklavter Men-schen muss stattdessen die Küste entlang gelaufen sein.","<size=24>This object means that Johan Maurits controlled the Dutch colony in Brazil. He lived in Mauritsstad.

These plans show a European-looking house. Johan Maurits paid a lot of money to build many houses like this in Mauritsstad.

Johan imported many things from Europe to Brazil to make the colony look familiar. These included food, animals, and plants like the orange tree.

Things that came with ships were unloaded in ports. People that were taken from their home against their will were, too. One group of people like that walked across the beach toward Mauritsstad instead.","<size=24>Dieses Objekt bedeutet, dass Johann Moritz die niederländische Kolonie in Brasilien kontrollierte. Er hat dort in Mauritsstad gewohnt.

Diese Pläne zeigen ein niederländisch aussehenden Haus. Johann Moritz hat viel Geld gezahlt, um solche Häuser in Mauritsstad zu bauen.

Johann hat viele Dinge aus seiner Heimat nach Brasilien bringen lassen, um die Umgebung wie Europa aussehen zu lassen. Dazu gehören Lebensmittel, Tiere, und Pflanzen wie zum Beispiel der Orangen-baum.

Mit dem Schiff gelieferte Sachen wurden im Hafen entladen. Versklavte Menschen auch. Eine Gruppe solcher Menschen muss stattdessen am Strand nach Mauritsstad gelaufen sein."
MG2StoryTitle3,Gifts (?) for the sugar mill owners,Geschenke (?) für die Zuckermühlenbesitzer,Gifts (?) for the sugar mill owners,Geschenke (?) für die Zuckermühlenbesitzer
MG2Story3,"<size=25>""Isn't it so progressive of the humanist prince to allow freedom of belief in his colony?""

""I worry that Johan Maurits may be getting a little too nice toward the Portuguese Catholics who own the sugar farms.""

""Didn't he also promise them new workers on their sugar farms?""

These files list a number of enslaved people having been gifted to the Portuguese sugar mill owners in the name of Johan Maurits.","""Ist es nicht unglaublich fortschritt-lich vom humanistischen Fürsten, in der Kolonie Glaubensfreiheit zu erlauben?""

""Ich fürchte, dass Johann Moritz viel-leicht ein wenig zu freundlich zu den portugiesischen Katholiken, denen die Zuckerplantagen gehören, ist.""

""Hat er ihnen nicht auch neue Arbeiter für ihre Zuckermühlen versprochen?""

Diese Unterlagen verzeichnen einige versklavte Menschen, die im Namen von Johann Moritz an portugiesische Zucker-mühlenbesitzer verschenkt wurden.","<size=24.5>""Isn't it really nice of Johan to allow everyone in the colony to practice their religion?""

""I worry that Johan may be getting too friendly with the Portuguese Catholics who own the sugar farms.""

""Didn't he also promise them new workers on their sugar farm? He must be expecting another ship with enslaved people from Africa.""

These papers document how Johan gifted a group of enslaved people to Portuguese sugar mill owners. ","<size=25>""Ist es nicht super nett von Johann, allen Leuten hier zu erlauben, ihre Religion zu haben?""

""Ich fürchte, dass Johann vielleicht zu nett zu den portugiesischen Katholiken, denen die Zuckermühlen gehören, ist.""

""Hat er ihnen nicht auch neue Arbeiter für ihre Zuckermühlen versprochen? Er scheint noch ein Schiff zu erwarten, das mehr versklavte Menschen bringt.""

Auf diesen Papieren wurde aufge-schrieben, wie eine Gruppe von ver-sklavten Menschen von Johann Moritz an portugiesische Zuckermühlenbesitzer verschenkt wurde."
MG2StoryTitle4,Wealthy Johan Maurits,Wohlhabender Johann Moritz,Wealthy Johan Maurits,Wohlhabender Johann Moritz
MG2Story4,"<size=23.5>""I have an artist friend back in the Netherlands. Do you think Johan Maurits would fund him too?"" - some Guest in 'Vrijburg'.

Artists traveling with Johan Maurits documented the Brazilian flora and fauna of the 17th century in great detail.

""I am so glad that our research on the local flora and fauna, medicine, and all the other areas has made immense progress! It's all thanks to Johan's generous financial aid.""

Despite many projects, artists, and scientists he financed, Johan Maurits’ wealth kept increasing. What channels besides his payment from the WIC could he have received money through?

Johan Maurits' signature on a specific set of documents has generated side income. First, enslaved people were sent as gifts - months later, they received a payment request.","""Ich habe einen Künstlerfreund zuhause in Holland. Meinst du, Johann würde ihn auch sponsoren?"" - ein Gast in 'Vrijburg'

Künstler, die mit Johann Moritz reisten, haben sehr detailliert brasilianische Pflanzen und Tiere dokumentiert.

""Ich bin sehr froh, dass unsere Forschungen zur lokalen Tier- und Pflanzenwelt, Medizin und all den anderen Dingen dank Johanns' großzügiger finanzieller Unterstützung große Fortschritte gemacht haben!""

Obwohl Johann Moritz verschiedenste Projekte, Künstler und Wissenschaftler finanzierte, wuchs sein Wohlstand weiter. Ob es neben seinem Lohn von der WIC noch andere Einkommensquellen gab?

Johann's Unterschrift auf den richtigen Dokumenten sorgte für hohes Neben-einkommen. Zuerst wurden versklavte Menschen verschenkt - Monate später ging eine Zahlungsaufforderung raus.","""I have a friend who is an artist back in the Netherlands. Do you think Johan Maurits would pay them for their art, too?"" - some Guest in 'Vrijburg'

The artists who traveled with Johan painted many Brazilian plants and animals.

""I am so glad that we could do so much re-search on Brazilian plants and animals, medicine, and many other things! It's all thanks to Johan's generosity.""

Even though Johan paid for many different projects from artists and scientists, he kept getting richer. Besides his payment from the trading company, did he have other ways of earning money?

Johan earned a lot of money by signing the right papers. First, he gave enslaved people away as gifts, and later he demanded money for them. ","""Ich habe einen Freund, der Künstler ist, zu Hause in Holland. Meinst du, Johann Moritz würde ihn auch für seine Kunst bezahlen?"" - ein Gast in 'Vrijburg'""

Künstler, die mit Johann gereist sind, haben viele Bilder von brasilianischen Pflanzen und Tieren gemalt.

""Ich bin sehr froh, dass wir so viel zu brasilianischen Tieren und Pflanzen, Medizin und vielen anderen Sachen forschen konnten! Und das nur dank Johann's Großzügigkeit!""

Obwohl Johann viele verschiedene Projekte von Künstlern und Wissenschaftlern bezahlt hat, wurde er immer reicher. Ob er neben seinem Gehalt von der WIC noch andere Wege hatte, um Geld zu vedienen?

Durch seine Unterschrift auf den richtigen Papieren hat Johann viel dazu verdient. Zuerst hat er versklavte Menschen als Geschenke verteilt, und später hat er Geld für sie verlangt."
MG2StoryTitle5,The full story,Die ganze Geschichte,The full story,Die ganze Geschichte
MG2Story5,"""This shipwreck is odd because no cargo sank with it. However, there are many footsteps that lead toward Mauritsstad.""

Usually, imported trade goods were unloaded in the ports - as were enslaved people. A peculiar group of enslaved people must have come walking up the coast instead.

These files list a number of enslaved people having been gifted to the Portuguese sugar mill owners in the name of Johan Maurits.

Johan Maurits' signature on a specific set of documents has ge-nerated side income. First, enslaved people were sent as gifts - months later, they received a payment re-quest.","<size=23>Dieses Schiffswrack ist ungewöhnlich, da keine Ladung mit gesunken ist. Allerdings führen am Ufer viele Fußstapfen nach Mauritsstad.

Normalerweise wurde importierte Han-delsware in Häfen vom Schiff abgeladen - ebenso wie versklavte Menschen. Eine ungewöhnliche Gruppe versklavter Menschen muss stattdessen die Küste entlang ge-laufen sein.

Diese Unterlagen verzeichnen einige versklavte Menschen, die im Namen von Johann Moritz an portugiesische Zuckermühlen-besitzer verschenkt wurden.

Johann's Unterschrift auf den richtigen Dokumenten sorgte für hohes Nebenein-kommen. Zuerst wurden versklavte Menschen verschenkt - Monate später ging eine Zahlungsaufforderung raus.","<size=24>""This broken ship is weird! It seems to have sunk without any cargo. However, many people have been at the beach nearby and walked to Mauritsstad.""

Things that came with ships were unloaded in ports. People that were taken from their home against their will were, too. One group of people like that walked across the beach toward Mauritsstad instead.

These papers document how Johan gifted a group of enslaved people to Portuguese sugar mill owners. 

Johan earned a lot of money by signing the right papers. First, he gave enslaved people away as gifts, and later he demanded money for them. ","<size=24>Dieses kaputte Schiff ist seltsam!
Es ist ohne Ladung gesunken. Aber am Strand sind Fußstapfen! Viele Leute müssen nach Mauritsstad gelaufen sein.

Mit dem Schiff gelieferte Sachen wurden im Hafen entladen. Versklavte Menschen auch. Eine Gruppe solcher Menschen muss stattdessen am Strand nach Mauritsstad gelaufen sein.

Auf diesen Papieren wurde aufgeschrie-ben, wie eine Gruppe von versklavten Menschen von Johann Moritz an por-tugiesische Zuckermühlenbesitzer ver-schenkt wurde.

Durch seine Unterschrift auf den richtigen Papieren hat Johann viel dazu verdient. Zuerst hat er versklavte Men-schen als Geschenke verteilt, und später hat er Geld für sie verlangt."
,,,,
Final.Return,Return to book,Zurück zum Buch,Return to book,Zurück zum Buch
,,,,
,,,,
,,,,
,,,,
,"""Johan Maurits talked about a broken ship for sale by the slave trading company he works for in a conversation with his right-hand man!"" ""I received im-portant information for that scam idea I had the other day."" -Gaspar Dias, a merchant who worked closely with Johan Maurits. ""This ship was recently sold by the WIC to some merchant guy. I heard they had to fix it up! It is leaving Recife as a Portuguese vessel for Africa tomorrow. "" ""I only agreed to steer the 'Diemen' to get Gaspar Dias’ favor. But as soon as I meet an official, I will tell them he is a fraud!"" - Antonio Machado, Portuguese Captain This ship left an African harbor with many enslaved people. Officially it’s heading for a Portuguese port. - Strange, that seems vaguely familiar. This shipwreck is odd because no cargo sank with it. However, there are many footsteps that lead toward Mauritsstad.","In einem Gespräch mit einem engen Mitarbeiter hat Johann Moritz über den Verkauf eines beschädigten Schiffes geredet. Verkauft wird es von der Handelsgesellschaft, für die er arbeitet.
""Ich habe wichtige Informationen erhalten, die für meine Betrugsidee helfen könnten!"" - Gaspar Dias, Kaufmann, arbeitete eng mit Johann Moritz zusammen.
Dieses Schiff wurde neulich von der WIC an irgendeinen Händler verkauft und musste repariert werden. Morgen fährt es unter portugiesischer Flagge von Recife nach Afrika.
""Ich habe nur für eine Empfehlung von Dias eingewilligt, die 'Diemen' zu steuern. Aber dem nächstbesten Verwalter werde ich sagen, dass Dias ein Betrüger ist!"" - Antonio Machado, portugiesischer Kapitän.
Dieses Schiff hat, beladen mit vielen versklavten Menschen, einen afrikanischen Hafen verlassen. Es steuert wohl einen portugiesischen Hafen an. Seltsam, das kommt mir vage bekannt vor.
Dieses Schiffswrack ist ungewöhnlich, da keine Ladung mit gesunken ist. Allerdings führen am Ufer viele Fußstapfen nach Mauritsstad.","Johan Maurits was talking about a broken ship to an employee. 
""I will soon own a ship. It will help me with my illegal business!"" - said Gaspar Dias, a merchant who worked for Johan Maurits
This ship was broken, but then it was sold to a Portuguese merchant. Tomorrow it's going from Brazil to Africa!
""I don't actually want to steer the ship 'Diemen.' As soon as I meet someone impor-tant, I will tell them Gaspar Dias is a fraud!"" - said Antonio, a captain
This ship had many people come on board in Africa. The people were taken from their home to be brought to Brazil to work.
""This broken ship is weird! It seems to have sunk without any cargo. However, many people have been at the beach nearby and walked to Mauritsstad.""","Johann Moritz hat mit seinem Mitarbeiter über ein kaputtes Schiff geredet.
""Ich werde bald ein Schiff haben! Das kann ich dann für meine illegalen Geschäfte benutzen!"" - sagte Gaspar Dias, ein Händler der für Johann Moritz gearbeitet hat.
Diese Schiff war kaputt, wurde dann aber an einen portugiesischen Händler verkauft. Morgen fährt es von Brasilien nach Afrika!
""Eigentlich will ich das Schiff 'Diemen' nicht steuern. Sobald ich jemand wichtiges treffe, werde ich erzählen, dass Gaspar Dias ein Be-trüger ist!"" - sagte Antonio, Kaptiän
Dieses Schiff hat in Afrika viele Menschen aufgeladen, die gegen ihren Willen nach Brasilien gebracht werden sollten, um dort zu arbeiten.
Dieses kaputte Schiff ist seltsam! Es ist ohne Ladung gesunken. Aber am Strand sind Fußstapfen! Viele Leute müssen nach Mauritsstad gelaufen sein."
,,,,
